1.980e+02,4.728e-241
1.980e+02,2.246e-238
1.980e+02,1.024e-235
1.980e+02,4.484e-233
1.980e+02,1.884e-230
1.981e+02,7.603e-228
1.981e+02,2.945e-225
1.981e+02,1.095e-222
1.981e+02,3.909e-220
1.981e+02,1.340e-217
1.982e+02,4.407e-215
1.982e+02,1.392e-212
1.982e+02,4.221e-210
1.982e+02,1.229e-207
1.982e+02,3.433e-205
1.983e+02,9.210e-203
1.983e+02,2.372e-200
1.983e+02,5.864e-198
1.983e+02,1.392e-195
1.983e+02,3.172e-193
1.984e+02,6.938e-191
1.984e+02,1.457e-188
1.984e+02,2.938e-186
1.984e+02,5.686e-184
1.984e+02,1.056e-181
1.985e+02,1.884e-179
1.985e+02,3.227e-177
1.985e+02,5.305e-175
1.985e+02,8.373e-173
1.985e+02,1.269e-170
1.986e+02,1.845e-168
1.986e+02,2.577e-166
1.986e+02,3.454e-164
1.986e+02,4.445e-162
1.986e+02,5.492e-160
1.987e+02,6.515e-158
1.987e+02,7.418e-156
1.987e+02,8.109e-154
1.987e+02,8.510e-152
1.987e+02,8.574e-150
1.988e+02,8.293e-148
1.988e+02,7.701e-146
1.988e+02,6.865e-144
1.988e+02,5.875e-142
1.988e+02,4.827e-140
1.989e+02,3.807e-138
1.989e+02,2.883e-136
1.989e+02,2.096e-134
1.989e+02,1.463e-132
1.989e+02,9.799e-131
1.990e+02,6.303e-129
1.990e+02,3.892e-127
1.990e+02,2.307e-125
1.990e+02,1.313e-123
1.990e+02,7.176e-122
1.991e+02,3.764e-120
1.991e+02,1.896e-118
1.991e+02,9.164e-117
1.991e+02,4.254e-115
1.991e+02,1.895e-113
1.992e+02,8.109e-112
1.992e+02,3.330e-110
1.992e+02,1.313e-108
1.992e+02,4.971e-107
1.992e+02,1.806e-105
1.993e+02,6.303e-104
1.993e+02,2.111e-102
1.993e+02,6.789e-101
1.993e+02,,2.096e-99
1.993e+02,,6.213e-98
1.994e+02,,1.768e-96
1.994e+02,,4.831e-95
1.994e+02,,1.267e-93
1.994e+02,,3.191e-92
1.994e+02,,7.715e-91
1.995e+02,,1.791e-89
1.995e+02,,3.991e-88
1.995e+02,,8.539e-87
1.995e+02,,1.754e-85
1.995e+02,,3.459e-84
1.996e+02,,6.550e-83
1.996e+02,,1.191e-81
1.996e+02,,2.078e-80
1.996e+02,,3.483e-79
1.996e+02,,5.604e-78
1.997e+02,,8.657e-77
1.997e+02,,1.284e-75
1.997e+02,,1.829e-74
1.997e+02,,2.500e-73
1.997e+02,,3.282e-72
1.998e+02,,4.137e-71
1.998e+02,,5.007e-70
1.998e+02,,5.819e-69
1.998e+02,,6.493e-68
1.998e+02,,6.957e-67
1.999e+02,,7.158e-66
1.999e+02,,7.073e-65
1.999e+02,,6.713e-64
1.999e+02,,6.121e-63
1.999e+02,,5.366e-62
2.000e+02,,4.526e-61
2.000e+02,,3.680e-60
2.000e+02,,2.892e-59
2.000e+02,,2.209e-58
2.000e+02,,1.655e-57
2.001e+02,,1.233e-56
2.001e+02,,9.315e-56
2.001e+02,,7.285e-55
2.001e+02,,5.986e-54
2.001e+02,,5.173e-53
2.002e+02,,4.635e-52
2.002e+02,,4.218e-51
2.002e+02,,3.823e-50
2.002e+02,,3.402e-49
2.002e+02,,2.945e-48
2.003e+02,,2.466e-47
2.003e+02,,1.991e-46
2.003e+02,,1.548e-45
2.003e+02,,1.157e-44
2.003e+02,,8.313e-44
2.004e+02,,5.739e-43
2.004e+02,,3.808e-42
2.004e+02,,2.427e-41
2.004e+02,,1.486e-40
2.004e+02,,8.745e-40
2.005e+02,,4.944e-39
2.005e+02,,2.686e-38
2.005e+02,,1.402e-37
2.005e+02,,7.033e-37
2.005e+02,,3.391e-36
2.006e+02,,1.571e-35
